ref,n_files,verdict,files
anujsaha0123456789/s6e8-lgbm-xgb-catboost-blend-0-9656-lb,2,nothing,"s6e8-lgbm-xgb-catboost-blend-0-9656-lb.log submission.csv "
alexchilton/four-eda-checks-that-change-what-you-model,1,nothing,"four-eda-checks-that-change-what-you-model.log "
abhishekgupta56447/smartphone-addiction-prediction-roc-auc-0-96547,2,nothing,"smartphone-addiction-prediction-roc-auc-0-96547.log submission.csv "
abdullahsafwan333/s6e8-xgboost-sap,4,CANDIDATE,"oof.csv s6e8-xgboost-sap.log submission.csv test_preds.csv "
abdullahsafwan333/s6e8-lightgbm-sap,4,CANDIDATE,"oof.csv s6e8-lightgbm-sap.log submission.csv test_preds.csv "
abdullahsafwan333/s6e8-complete-eda-insights-sap,1,nothing,"s6e8-complete-eda-insights-sap.log "
abdelmoujib/0-91953-score-with-logistic-regression,2,CANDIDATE,"0-91953-score-with-logistic-regression.log smaprtphone_addiction_using_logistic.csv "
ujjawalsingh10/smartphone-addiction-analysis-xgboost-optuna,6,CANDIDATE,"feature_engineering.json final_xgb_model.json final_xgb_parameters.json model_metadata.json smartphone-addiction-analysis-xgboost-optuna.log submission.csv "
stpeteishii/smartphone-oof-optimized-ensemble-blending2,2,nothing,"smartphone-oof-optimized-ensemble-blending2.log submission.csv "
stpeteishii/smartphone-oof-optimized-ensemble-blending,2,nothing,"smartphone-oof-optimized-ensemble-blending.log submission.csv "
stephentarter/ps-s06e08-model-ensembling-stacking,3,CANDIDATE,"predictions ps-s06e08-model-ensembling-stacking.log submission.csv "
raccoon2/smartphone-addiction-prediction-ensemble-stacking,1,nothing,"smartphone-addiction-prediction-ensemble-stacking.log "
qwerty1234123424/simple-baseline-catboost,2,CANDIDATE,"simple-baseline-catboost.log sumbission.csv "
parthsarnobat/s6e8-smart-phone-addiction-catboost,2,nothing,"s6e8-smart-phone-addiction-catboost.log submission.csv "
maximolorenzoylosada/the-oof-that-passes-every-leakage-test,1,nothing,"the-oof-that-passes-every-leakage-test.log "
kitopl/stacking-lb-0-969,2,nothing,"stacking-lb-0-969.log submission.csv "
funnybishop/s6e8-value-lookup-catboost,1,nothing,"s6e8-value-lookup-catboost.log "
dariushafshar/the-strongest-fully-reproducible-stack-lb-0-9708,2,nothing,"submission.csv the-strongest-fully-reproducible-stack-lb-0-9708.log "
dariushafshar/s6e8-community-stack-lb-0-970,2,nothing,"s6e8-community-stack-lb-0-970.log submission.csv "
dariushafshar/price-a-new-stack-member-vs-74-oofs-lb-0-97077,2,nothing,"price-a-new-stack-member-vs-74-oofs-lb-0-97077.log submission.csv "
dariushafshar/fork-this-the-0-9708-stack-as-one-config-cell,2,nothing,"fork-this-the-0-9708-stack-as-one-config-cell.log submission.csv "
dariushafshar/94-verified-oofs-honest-cv-0-96985-lb-0-97097,2,nothing,"94-verified-oofs-honest-cv-0-96985-lb-0-97097.log submission.csv "
bloodygymvisitor/0-966-xgb-lgbm-ensemble-looking-for-feedback,2,nothing,"0-966-xgb-lgbm-ensemble-looking-for-feedback.log submission.csv "
beicicc/s6e8-strict-realmlp-residual-audit,13,CANDIDATE,"realmlp_residual_anchor_audit.csv realmlp_residual_candidate_summary.csv realmlp_residual_fold_deltas.csv realmlp_residual_ignored_library_additions.csv realmlp_residual_manifest.json realmlp_residual_meta_fold_scores.csv realmlp_residual_passing_oof.csv realmlp_residual_passing_test.csv realmlp_residual_raw_meta_summary.csv realmlp_residual_source_audit.csv s6e8-strict-realmlp-residual-audit.log submission_c04_meta56_realmlp.csv submission_c04_meta57_lattice_realmlp.csv "
abdullahsafwan333/s6e8-tabm-sap,1,nothing,"s6e8-tabm-sap.log "
zananpech/smartphone-prediction-with-ensemble-models,2,nothing,"smartphone-prediction-with-ensemble-models.log submission.csv "
teamaker/xgboost-feature-engineering-and-no-categoricals,2,nothing,"submission.csv xgboost-feature-engineering-and-no-categoricals.log "
sergeyqt2024/lr-lgbm-oof-only,2,nothing,"lr-lgbm-oof-only.log submission.csv "
sarveshchhetri/a-small-neural-net-instead-of-trees,2,nothing,"a-small-neural-net-instead-of-trees.log submission.csv "
sarimr/smartphone-addiction-stacking-ensemble-auc-0-96,1,nothing,"smartphone-addiction-stacking-ensemble-auc-0-96.log "
rustambhadouriya/student-health-rank-average-0-97092,2,nothing,"student-health-rank-average-0-97092.log submissions_h.csv "
laymond/s6e8-predicting-phone-addiction-xgb-pipeline,27,CANDIDATE,"s6e8-predicting-phone-addiction-xgb-pipeline.log submission.csv xgb_seed_123_fold_0.json xgb_seed_123_fold_1.json xgb_seed_123_fold_2.json xgb_seed_123_fold_3.json xgb_seed_123_fold_4.json xgb_seed_2024_fold_0.json xgb_seed_2024_fold_1.json xgb_seed_2024_fold_2.json xgb_seed_2024_fold_3.json xgb_seed_2024_fold_4.json xgb_seed_42_fold_0.json xgb_seed_42_fold_1.json xgb_seed_42_fold_2.json xgb_seed_42_fold_3.json xgb_seed_42_fold_4.json xgb_seed_7_fold_0.json xgb_seed_7_fold_1.json xgb_seed_7_fold_2.json xgb_seed_7_fold_3.json xgb_seed_7_fold_4.json xgb_seed_999_fold_0.json xgb_seed_999_fold_1.json xgb_seed_999_fold_2.json xgb_seed_999_fold_3.json xgb_seed_999_fold_4.json "
lavanyabacche/predicting-smartphone-addiction-catboost-fe,6,CANDIDATE,"oof_v12_blend.npy oof_v12_rank.npy predicting-smartphone-addiction-catboost-fe.log submission_v12.csv test_v12_blend.npy test_v12_rank.npy "
kostya138/model-ensemble-optuna-with-kfold,2,nothing,"model-ensemble-optuna-with-kfold.log submission.csv "
fuagra/3-models-stacking-and-eda-public-0-9635,0,EMPTY,""
dynamo14324/s6e8-grandmaster-blend-guide,1,nothing,"s6e8-grandmaster-blend-guide.log "
daniilkrasnovvv/s6e8-blend-audit-and-refit,2,nothing,"s6e8-blend-audit-and-refit.log submission.csv "
cdeotte/simple-xgb-starter,5,CANDIDATE,"feature_importance.csv fold_metrics.csv oof_predictions.csv simple-xgb-starter.log submission.csv "
amanatar/tabm-advanced-feature-engineering-s6e8,2,nothing,"submission_tabm.csv tabm-advanced-feature-engineering-s6e8.log "
abeeralzebda/predicting-smartphone-addiction-catboost,2,CANDIDATE,"predicting-smartphone-addiction-catboost.log results.csv "
yashpalthakor/tabresnet-for-smartphone-addiction-prediction,3,CANDIDATE,"best_ft_transformer.pth submission.csv tabresnet-for-smartphone-addiction-prediction.log "
vladstud716373618/baseline-5-fold-cv-catboost-deep-fe,4,CANDIDATE,"baseline-5-fold-cv-catboost-deep-fe.log oof.csv submission.csv test_pred.csv "
vincenthwq/s6e8-ensemble,2,nothing,"s6e8-ensemble.log submission.csv "
sergiobuilds/s6e8-xgb-smartphone-addiction,3,nothing,"feature_importance.png s6e8-xgb-smartphone-addiction.log submission.csv "
sanyagupta31/smartphone-addiction-xgboost-baseline,1,nothing,"smartphone-addiction-xgboost-baseline.log "
omidbaghchehsaraei/xgboost-v2-for-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv submission.csv xgboost-v2-for-predicting-smartphone-addiction.log "
miyinks/stacking-phone-addiction,2,CANDIDATE,"stacking-phone-addiction.log stack_submission.csv "
kojou17/xgboost-w-feature-selection-via-mutual-information,2,nothing,"submission.csv xgboost-w-feature-selection-via-mutual-information.log "
kitopl/stacking-what-a-stack-needs-is-difference,2,nothing,"stacking-what-a-stack-needs-is-difference.log submission.csv "
dariushafshar/12-oof-members-survive-a-fold-and-hash-audit,2,nothing,"12-oof-members-survive-a-fold-and-hash-audit.log oof_integrity_report.csv "
codingmaster24/predicting-smartphone-addiction-xgboost,2,nothing,"predicting-smartphone-addiction-xgboost.log submission.csv "
chakrabhuanavdeva/smartphone-prediction-ffaxgb-model,4,nothing,"smartphone-prediction-ffaxgb-model.log submission.csv submission_ff.csv submission_xgb.csv "
achilov15/blending-method,5,nothing,"blending-method.log submission.csv submission_mean.csv submission_median.csv submission_weighted.csv "
