ref,file,kind,rows,shape,cols,mb
mohankrishnathalla/s6e8-tabm-oof-saver,mohankrishnathalla_s6e8-tabm-oof-saver/submission_mlp.csv,csv,296302,"(296302, 2)",id|addicted_label,7.750977
mohankrishnathalla/s6e8-tabm-oof-saver,mohankrishnathalla_s6e8-tabm-oof-saver/submission_mlp_fold1.csv,csv,296302,"(296302, 2)",id|addicted_label,7.757812
mohankrishnathalla/s6e8-tabm-oof-saver,mohankrishnathalla_s6e8-tabm-oof-saver/test_mlp.npy,npy,296302,"(296302,)",,2.370544
mohankrishnathalla/s6e8-tabm-oof-saver,mohankrishnathalla_s6e8-tabm-oof-saver/submission_mlp_fold5.csv,csv,296302,"(296302, 2)",id|addicted_label,7.750977
mohankrishnathalla/s6e8-tabm-oof-saver,mohankrishnathalla_s6e8-tabm-oof-saver/submission_mlp_fold3.csv,csv,296302,"(296302, 2)",id|addicted_label,7.745982
mohankrishnathalla/s6e8-tabm-oof-saver,mohankrishnathalla_s6e8-tabm-oof-saver/submission_mlp_fold2.csv,csv,296302,"(296302, 2)",id|addicted_label,7.750108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,7.760701
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_xgb_seed42.npy,npy,691369,"(691369,)",,5.53108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_lgbm_v1_seed42.npy,npy,691369,"(691369,)",,5.53108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_matrix.npy,npy,296302,"(296302, 6)",,14.222624
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_lgbm_v3_seed42.npy,npy,691369,"(691369,)",,5.53108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_predictions_all_models.csv,csv,296302,"(296302, 7)",lgbm_v1_seed42|lgbm_v2_seed42|lgbm_v3_seed42|xgb_seed42|xgb_seed2026|xgb_seed777|id,36.185329
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_matrix.npy,npy,691369,"(691369, 6)",,33.18584
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_xgb_seed42.npy,npy,296302,"(296302,)",,2.370544
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_lgbm_v2_seed42.npy,npy,691369,"(691369,)",,5.53108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_lgbm_v3_seed42.npy,npy,296302,"(296302,)",,2.370544
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_xgb_seed2026.npy,npy,691369,"(691369,)",,5.53108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_xgb_seed777.npy,npy,296302,"(296302,)",,2.370544
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_xgb_seed777.npy,npy,691369,"(691369,)",,5.53108
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_lgbm_v1_seed42.npy,npy,296302,"(296302,)",,2.370544
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_lgbm_v2_seed42.npy,npy,296302,"(296302,)",,2.370544
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/oof_predictions_all_models.csv,csv,691369,"(691369, 8)",lgbm_v1_seed42|lgbm_v2_seed42|lgbm_v3_seed42|xgb_seed42|xgb_seed2026|xgb_seed777|id|addicted_label,85.675789
rv1922/smartphone-addiction,rv1922_smartphone-addiction/model_outputs/test_xgb_seed2026.npy,npy,296302,"(296302,)",,2.370544
gauravduttaiiitb/ex51-s6e8-flaml-log-loss,gauravduttaiiitb_ex51-s6e8-flaml-log-loss/log_loss.csv,csv,296302,"(296302, 2)",id|addicted_label,7.768877
shashwat1729/s6e8-knn-target-gbm,shashwat1729_s6e8-knn-target-gbm/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,7.762827
shashwat1729/s6e8-knn-target-gbm,shashwat1729_s6e8-knn-target-gbm/test_knn_gbm.npy,npy,296302,"(296302,)",,2.370544
shashwat1729/s6e8-knn-target-gbm,shashwat1729_s6e8-knn-target-gbm/oof_knn_gbm.npy,npy,691369,"(691369,)",,5.53108
babulkumar07/notebook212f18c3fb,babulkumar07_notebook212f18c3fb/susubmission.csv,csv,296302,"(296302, 2)",id|addicted_label,7.783788
